ID	promMicro	promProt
260709	1.797570961	1.998833333
266157	1.69391418	4.680666667
266158	1.307549006	2.043166667
266176	0.980285306	3.908
266181	0.884051606	0.836166667
266213	0.933670732	0.85725
266215	1.013401169	0.976708333
266216	1.140556709	0.818361111
266217	1.277124226	0.894777778
266218	1.209809031	3.706916667
266219	1.171544617	0.837555556
266222	1.264946023	2.213708333
266228	1.37567987	1.040958333
266229	1.540302839	0.954402778
266256	1.263183339	4.00925
266271	0.920655412	0.889041667
266273	0.924445203	0.917652778
266274	0.968168096	0.953958333
266295	1.074050672	0.945527778
266316	1.205559322	0.976638889
266317	1.291626794	0.904527778
266319	1.094757102	4.945083333
266321	0.855251102	0.982069444
266324	0.838904502	0.852305556
266350	0.827254052	0.949888889
266352	0.823367785	0.819458333
266354	0.827084326	0.830555556
266355	0.803918362	0.865930556
266359	0.785940846	0.776527778
266374	0.798802297	0.765333333
266376	0.803438669	0.869930556
266401	0.788131084	0.857472222
266421	0.769073804	0.849041667
266422	0.766734927	0.831736111
266429	0.790170668	0.852
266432	0.836996752	0.744166667
266440	0.89045265	0.843666667
266443	0.912648625	0.791666667
266461	0.828713219	2.045
266468	0.746818774	0.790319444
266478	0.763659618	0.9025
266487	0.795364565	0.755
266494	0.832157629	0.765375
266497	0.847148108	0.863416667
266498	0.847633282	0.804333333
266499	0.862775393	0.828569444
266504	0.86484029	0.831
266505	0.856254295	0.868902778
266507	0.8571134	0.904666667
266508	0.875538698	0.838916667
266510	0.906201267	0.870861111
266528	0.966535511	0.775
266529	1.037277158	0.892902778
266541	1.021795413	2.171986111
266543	0.936654456	2.095930556
266545	0.852568498	1.821847222
266547	0.814892066	0.8025
266549	0.830141261	0.780222222
266550	0.838237646	0.907625
266563	0.819259836	0.904361111
266564	0.797311788	0.855791667
266575	0.801087001	0.742666667
266577	0.823558846	0.764634259
266580	0.824047067	0.670287037
266642	0.826462147	0.71
266647	0.833855501	0.852166667
266658	0.814535801	0.8125
266660	0.799679518	0.763833333
266693	0.799254031	0.738166667
266696	0.809444347	0.84
266705	0.830454361	0.786666667
266707	0.84192857	0.777333333
266713	0.827230847	0.792
266721	0.800154356	0.800333333
266722	0.794492692	0.825666667
266751	0.807213626	0.8185
266757	0.818405568	0.842666667
266759	0.841014796	0.813
266768	0.860093727	0.813166667
266778	0.860909019	0.851833333
266789	0.845235436	0.887166667
266792	0.812751264	0.8755
266798	0.8079662	0.714833333
266800	0.806356735	0.798
266807	0.807708082	0.698333333
266808	0.840499912	0.721166667
266820	0.836316743	0.895333333
266825	0.820603198	0.769666667
266829	0.810296479	0.796166667
266848	0.794277153	0.7335
266885	0.795892924	0.855333333
266887	0.811415204	0.7665
266896	0.831259779	0.800333333
266911	0.853414831	0.772166667
266920	0.861477613	0.944833333
266925	0.836864822	0.951833333
266927	0.822507201	0.866833333
266930	0.824480926	0.829
266931	0.820483707	0.946
266932	0.827772751	0.843166667
266934	0.83947476	0.911833333
266935	0.836887271	0.752
266936	0.834178674	0.821666667
266937	0.827465158	0.838833333
266947	0.82961518	0.782833333
266948	0.842646037	0.792333333
266969	0.843209525	0.7535
266972	0.836222002	0.705833333
266993	0.840595271	0.700333333
266994	0.845762893	0.765833333
266995	0.872747621	0.6295
266998	0.890069038	0.700666667
266999	0.826621437	1.902166667
267002	0.780495687	0.656333333
267003	0.795091465	0.672166667
267009	0.811111387	0.6985
267010	0.82308142	0.692166667
267015	0.818182943	0.8375
267016	0.817786241	0.7205
267049	0.823266631	0.806833333
267061	0.82904289	0.782
267085	0.841908756	0.815
267087	0.833400825	0.942333333
267091	0.828036378	0.676633333
267096	0.81903907	0.776716667
267109	0.7992442	0.6998
267110	0.777377115	0.728216667
267111	0.768715528	0.650022222
267113	0.784301237	0.672688889
267114	0.784306665	0.742188889
267130	0.770381073	0.689688889
267131	0.758573859	0.693022222
267133	0.768516464	0.723138889
267154	0.798843503	0.728722222
267162	0.799137198	0.885916667
267224	0.775868961	0.838430556
267225	0.797115821	0.7055
267240	0.857766254	0.7455
267246	0.9224176	0.905822222
267252	0.98159148	0.948430556
267258	0.97313779	2.177316667
267267	0.967017101	0.888022222
267276	0.964394277	1.882491667
267280	0.97891571	0.632238889
267301	1.010027003	1.864472222
267307	1.028103181	0.738180556
267315	1.04191134	0.677027778
267316	0.911530303	1.999986111
267318	0.823617529	0.734333333
267340	0.840607126	0.753902778
267342	0.839713208	0.856833333
267365	0.857510761	0.916513889
267377	0.914858404	0.865541667
267379	0.994287	0.948972222
267380	1.027736679	0.874472222
267382	0.955560772	2.096847222
267384	0.931821259	1.081166667
267386	0.989510366	0.796819444
267387	0.958480078	2.063958333
267424	0.862375276	2.144416667
267425	0.797417201	0.92075
267440	0.810211902	0.735791667
267441	0.850911401	0.746152778
267444	0.863882576	0.946597222
267487	0.838244949	1.02575
267488	0.83375292	0.784
267489	0.841184252	0.845180556
267491	0.828840225	0.885041667
267494	0.81463738	0.939180556
267495	0.799662031	0.944208333
267501	0.805696044	0.910555556
267502	0.852059263	0.879352778
267503	0.927624664	0.970647222
267519	1.01446522	0.782463889
267520	1.026206463	2.072247222
267529	1.015910672	0.809133333
267596	0.947961141	2.078822222
267607	0.852211619	0.792155556
267619	0.850643941	0.834941667
267637	0.859510381	0.8188
267642	0.859642046	0.990608333
267646	0.869051901	0.9545
267668	0.892789989	0.829847222
267669	0.897274471	0.986144444
267675	0.888066635	1.020683333
267680	0.889308047	1.001041667
267681	0.887366439	0.837522222
267684	0.881797033	0.818516667
267686	0.882496231	0.866013889
267687	0.880816839	0.823191667
267689	0.873791071	0.812227778
267697	0.855971181	0.794763889
267708	0.848368273	0.859344444
267714	0.83865654	0.864175
267717	0.831448612	0.778211111
267727	0.835215364	0.861613889
267728	0.862382897	0.807666667
267729	0.924174716	0.835622222
267731	0.982498371	0.966088889
267743	1.040828774	0.941363889
267745	1.050270486	2.026666667
267746	1.00693116	2.068
267750	0.980022737	2.278166667
267752	1.048240132	0.736033333
OptA	1.150529259	NA
OptB	1.133805283	NA
OptC	1.021791478	NA
OptD	1.008882642	NA
OppA	1.063027832	NA
OppB	1.098134783	NA
OppC	1.075647782	NA
OppB	0.78323921	NA
